Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Seth Gordon,"$174,000,000.00","$35,000,000.00","$139,000,000.00"
Ryan Coogler,"$173,600,000.00","$40,000,000.00","$133,600,000.00"
M. Night Shyamalan,"$171,150,000.00","$67,500,000.00","$103,650,000.00"
Peter Farrelly,"$169,800,000.00","$50,000,000.00","$119,800,000.00"
David O. Russell,"$168,750,000.00","$40,500,000.00","$128,250,000.00"
Shawn Levy,"$165,833,333.33","$68,266,666.67","$97,566,666.67"
Cedric Nicolas-Troyan,"$164,600,000.00","$115,000,000.00","$49,600,000.00"
Steven Quale,"$161,700,000.00","$50,000,000.00","$111,700,000.00"
Jon M. Chu,"$161,600,000.00","$47,500,000.00","$114,100,000.00"
McG,"$156,500,000.00","$65,000,000.00","$91,500,000.00"
George Clooney,"$155,000,000.00","$70,000,000.00","$85,000,000.00"
Rob Letterman,"$150,200,000.00","$84,000,000.00","$66,200,000.00"
Antoine Fuqua,"$148,433,333.33","$51,666,666.67","$96,766,666.67"
Dean Parisot,"$148,100,000.00","$84,000,000.00","$64,100,000.00"
Josh Trank,"$147,300,000.00","$66,000,000.00","$81,300,000.00"
Andres Muschietti,"$146,400,000.00","$15,000,000.00","$131,400,000.00"
Alex Proyas,"$145,700,000.00","$140,000,000.00","$5,700,000.00"
Gary Rydstrom,"$145,600,000.00","$23,000,000.00","$122,600,000.00"
Nicholas Stoller,"$144,166,666.67","$27,666,666.67","$116,500,000.00"
Dave Green,"$143,900,000.00","$74,000,000.00","$69,900,000.00"
Ariel Schulman,"$142,800,000.00","$5,000,000.00","$137,800,000.00"
Breck Eisner,"$140,400,000.00","$90,000,000.00","$50,400,000.00"
Luke Greenfield,"$138,200,000.00","$17,000,000.00","$121,200,000.00"
Tim Burton,"$137,400,000.00","$80,000,000.00","$57,400,000.00"
Kenneth Branagh,"$135,500,000.00","$60,000,000.00","$75,500,000.00"
Will Gluck,"$133,800,000.00","$65,000,000.00","$68,800,000.00"
Ericson Core,"$133,700,000.00","$105,000,000.00","$28,700,000.00"
Adam McKay,"$133,300,000.00","$28,000,000.00","$105,300,000.00"
Kathryn Bigelow,"$132,800,000.00","$40,000,000.00","$92,800,000.00"
Baltasar Kormákur,"$131,900,000.00","$61,000,000.00","$70,900,000.00"
Tom Tykwer,"$130,500,000.00","$128,500,000.00","$2,000,000.00"
Jaume Collet-Serra,"$129,233,333.33","$42,866,666.67","$86,366,666.67"
James Watkins,"$128,500,000.00","$15,000,000.00","$113,500,000.00"
Joe Wright,"$128,400,000.00","$150,000,000.00","-$21,600,000.00"
Evan Goldberg,"$126,000,000.00","$32,000,000.00","$94,000,000.00"
David F. Sandberg,"$125,900,000.00","$4,900,000.00","$121,000,000.00"
Tim Story,"$124,933,333.33","$25,666,666.67","$99,266,666.67"
Jon Lucas,"$124,200,000.00","$20,000,000.00","$104,200,000.00"
James Marsh,"$123,700,000.00","$15,000,000.00","$108,700,000.00"
Peter Lord,"$123,000,000.00","$55,000,000.00","$68,000,000.00"
Wes Anderson,"$121,550,000.00","$19,500,000.00","$102,050,000.00"
Peter Lepeniotis,"$120,900,000.00","$42,800,000.00","$78,100,000.00"
Daniel Lee,"$120,000,000.00","$65,000,000.00","$55,000,000.00"
David Frankel,"$114,300,000.00","$30,000,000.00","$84,300,000.00"
Sergei Bodrov,"$114,200,000.00","$95,000,000.00","$19,200,000.00"
Andy Fickman,"$113,700,000.00","$32,500,000.00","$81,200,000.00"
Leigh Whannell,"$113,000,000.00","$11,000,000.00","$102,000,000.00"
Etan Cohen,"$111,800,000.00","$40,000,000.00","$71,800,000.00"
Robert Zemeckis,"$111,500,000.00","$38,000,000.00","$73,500,000.00"
John Madden,"$111,400,000.00","$10,000,000.00","$101,400,000.00"
J Blakeson,"$110,700,000.00","$35,000,000.00","$75,700,000.00"
Daniel Espinosa,"$110,550,000.00","$67,500,000.00","$43,050,000.00"
Jason Moore,"$110,200,000.00","$23,500,000.00","$86,700,000.00"
Guy Ritchie,"$109,800,000.00","$75,000,000.00","$34,800,000.00"
Anthony Stacchi,"$109,300,000.00","$60,000,000.00","$49,300,000.00"
Dan Trachtenberg,"$108,300,000.00","$15,000,000.00","$93,300,000.00"
Chris Butler,"$107,100,000.00","$60,000,000.00","$47,100,000.00"
Tarsem Singh,"$106,750,000.00","$55,500,000.00","$51,250,000.00"
Mark Burton,"$106,000,000.00","$25,000,000.00","$81,000,000.00"
Ruben Fleischer,"$105,200,000.00","$75,000,000.00","$30,200,000.00"
John Francis Daley,"$104,900,000.00","$31,000,000.00","$73,900,000.00"
Stiles White,"$103,600,000.00","$5,000,000.00","$98,600,000.00"
Denis Villeneuve,"$103,500,000.00","$38,000,000.00","$65,500,000.00"
Wally Pfister,"$103,000,000.00","$100,000,000.00","$3,000,000.00"
Randall Wallace,"$101,300,000.00","$12,000,000.00","$89,300,000.00"
Frank Coraci,"$100,550,000.00","$41,000,000.00","$59,550,000.00"
David Twohy,"$100,300,000.00","$40,000,000.00","$60,300,000.00"
Scott Cooper,"$99,800,000.00","$53,000,000.00","$46,800,000.00"
Jorge R. Gutierrez,"$99,800,000.00","$50,000,000.00","$49,800,000.00"
Scott Hicks,"$99,400,000.00","$25,000,000.00","$74,400,000.00"
Brian Helgeland,"$97,500,000.00","$40,000,000.00","$57,500,000.00"
James DeMonaco,"$97,450,000.00","$6,500,000.00","$90,950,000.00"
Gil Kenan,"$95,400,000.00","$35,000,000.00","$60,400,000.00"
Jodie Foster,"$93,100,000.00","$27,000,000.00","$66,100,000.00"
Ron Howard,"$92,050,000.00","$69,000,000.00","$23,050,000.00"
Harald Zwart,"$90,600,000.00","$60,000,000.00","$30,600,000.00"
Ben Falcone,"$89,550,000.00","$24,500,000.00","$65,050,000.00"
Tom McCarthy,"$88,300,000.00","$20,000,000.00","$68,300,000.00"
Kirk Jones,"$86,650,000.00","$29,000,000.00","$57,650,000.00"
Trish Sie,"$86,200,000.00","$45,000,000.00","$41,200,000.00"
Chad Stahelski,"$86,000,000.00","$20,000,000.00","$66,000,000.00"
Jonathan Levine,"$84,700,000.00","$30,000,000.00","$54,700,000.00"
David Dobkin,"$84,400,000.00","$50,000,000.00","$34,400,000.00"
Angelina Jolie,"$83,350,000.00","$37,500,000.00","$45,850,000.00"
William Brent Bell,"$83,000,000.00","$5,500,000.00","$77,500,000.00"
Oliver Stone,"$83,000,000.00","$45,000,000.00","$38,000,000.00"
Scott Derrickson,"$82,800,000.00","$16,500,000.00","$66,300,000.00"
Aleksander Bach,"$82,300,000.00","$35,000,000.00","$47,300,000.00"
Jeremy Garelick,"$79,800,000.00","$23,000,000.00","$56,800,000.00"
Timur Bekmambetov,"$78,900,000.00","$99,750,000.00","-$20,850,000.00"
R. J. Cutler,"$78,900,000.00","$11,000,000.00","$67,900,000.00"
Ole Bornedal,"$78,500,000.00","$14,000,000.00","$64,500,000.00"
Gregory Plotkin,"$78,100,000.00","$10,000,000.00","$68,100,000.00"
Michael Bay,"$77,800,000.00","$35,500,000.00","$42,300,000.00"
Joe Carnahan,"$77,300,000.00","$25,000,000.00","$52,300,000.00"
David Bowers,"$77,100,000.00","$22,000,000.00","$55,100,000.00"
Cal Brunker,"$74,600,000.00","$40,000,000.00","$34,600,000.00"
Alex Kendrick,"$73,700,000.00","$3,000,000.00","$70,700,000.00"
Mark Neveldine,"$73,050,000.00","$35,000,000.00","$38,050,000.00"
Camille Delamarre,"$70,800,000.00","$24,000,000.00","$46,800,000.00"
Brad Anderson,"$68,600,000.00","$13,000,000.00","$55,600,000.00"
Morgan Spurlock,"$68,500,000.00","$10,000,000.00","$58,500,000.00"
Akiva Schaffer,"$68,300,000.00","$68,000,000.00","$300,000.00"
Christopher Spencer,"$67,800,000.00","$22,000,000.00","$45,800,000.00"
Phillip Noyce,"$67,000,000.00","$25,000,000.00","$42,000,000.00"
Ava DuVernay,"$66,800,000.00","$20,000,000.00","$46,800,000.00"
Steven Soderbergh,"$66,700,000.00","$30,000,000.00","$36,700,000.00"
Malcolm D. Lee,"$66,700,000.00","$20,000,000.00","$46,700,000.00"
Drew Goddard,"$66,500,000.00","$30,000,000.00","$36,500,000.00"
Lee Toland Krieger,"$65,700,000.00","$25,000,000.00","$40,700,000.00"
S. Shankar,"$65,000,000.00","$15,000,000.00","$50,000,000.00"
Nima Nourizadeh,"$64,900,000.00","$20,000,000.00","$44,900,000.00"
